Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Country,Region,Crop,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,pH - Acidic,pH - Neutral,pH - Alkaline, 
"Longding, Arunachal Pradesh",Ok,"Longding, Arunachal Pradesh, India",26.837169,95.3520876,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Paddy, Millets, Pulses, Ginger",15.17%,84.06%,0.77%,0%,100%,0%,58.37%,40.28%,1.34%,94.85%,5.15%,0%,
"Kamle, Arunachal Pradesh",Ok,Kamle,27.7996255,94.0747664,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Ginger, Pulses, Tuber crops",10.46%,88.19%,1.35%,99.43%,0.14%,0.43%,0.07%,46.69%,53.24%,61.16%,38.62%,0.22%,
"Lepa Rada, Arunachal Pradesh",Ok,Lepa Rada,27.8895239,94.7691586,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Ginger, Millet, Rice",0.04%,99.87%,0.09%,0.18%,99.69%,0.13%,0.04%,99.30%,0.66%,18.36%,81.64%,0%,
"Shi Yomi, Arunachal Pradesh",Ok,Shi Yomi,28.6978712,94.315422,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millets, Potato, Ginger",5.04%,41.92%,53.05%,0.37%,72.82%,26.80%,3.36%,64.18%,32.46%,56.53%,43.47%,0%,
"Pakke-Kessang, Arunachal Pradesh",Ok,Pakke Kessang,27.0471985,93.0175712,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Rice, maize, millets",38.28%,44.02%,17.70%,1.24%,79.67%,19.09%,57.48%,39.16%,3.35%,68.22%,31.78%,0%,
"Baksa, Assam","2 found, use single geocode.","Baksa, Assam 781327, India",26.6829148,91.1761004,"locality, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Pulses",49.31%,37.75%,12.93%,83.62%,15.58%,0.80%,2.90%,51.19%,45.92%,26.22%,73.78%,0%,
"Barpeta, Assam","2 found, use single geocode.","Barpeta, Assam, India",26.3304209,91.0040547,"locality, political",APPROXIMATE,India,Assam,"Rice, Jute, Vegetables",56.96%,43.04%,0%,79.80%,14.88%,5.32%,4.05%,68.23%,27.72%,51.81%,48.17%,0.02%,
"Biswanath, Assam","2 found, use single geocode.","Biswanath Charali, Assam, India",26.7266632,93.1478514,"locality, political",APPROXIMATE,India,Assam,"Rice, Tea, Mustard",49.05%,49.28%,1.67%,51.43%,28.64%,19.93%,6.92%,53.62%,39.46%,76.12%,23.88%,0%,
"Bongaigaon, Assam",Ok,"Bongaigaon, Assam, India",26.5030072,90.5535724,"locality, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Sugarcane",46.36%,51.35%,2.29%,48.26%,33.66%,18.08%,5.74%,50.27%,43.99%,18.74%,81.26%,0.00%,
"Cachar, Assam",Ok,"Cachar, Assam, India",24.7821253,92.8577105,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Rice, Tea, Pineapple",62.10%,34.96%,2.94%,55.44%,29.88%,14.69%,12.88%,64.58%,22.54%,54.55%,45.45%,0%,
"Charaideo, Assam",Ok,"Charaideo, Assam, India",27.0372817,95.018246,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Tea, Paddy, Arecanut",45.94%,51.33%,2.73%,63.38%,27.44%,9.18%,6.83%,37.28%,55.89%,71.20%,28.80%,0%,
"Chirang, Assam",Ok,"Chirang, Assam 783390, India",26.5388578,90.6850972,"locality, political",APPROXIMATE,India,Assam,"Paddy, Vegetables, Banana",68.58%,29.64%,1.78%,79.52%,13.32%,7.16%,5.90%,59.30%,34.80%,25.72%,74.28%,0%,
"Darrang, Assam",Ok,"Darrang, Assam, India",26.4511588,92.1057549,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Paddy, Jute, Mustard",28.97%,69.50%,1.53%,75.48%,21.45%,3.07%,3.72%,41.81%,54.47%,23.48%,76.52%,0%,
"Dhemaji, Assam",Ok,"Dhemaji, Assam 787057, India",27.4720412,94.5587757,"locality, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Maize",45.19%,52.48%,2.33%,66.23%,22.74%,11.03%,9.15%,39.04%,51.81%,74.43%,25.57%,0%,
"Dhubri, Assam",Ok,"Dhubri, Assam, India",26.0206982,89.9743463,"locality, political",APPROXIMATE,India,Assam,"Rice, Jute, Sugarcane",15.93%,83.88%,0.19%,44.64%,41.60%,13.76%,5.75%,56.15%,38.10%,21.02%,78.98%,0%,
"Dibrugarh, Assam",Ok,"Dibrugarh, Assam, India",27.4705449,94.9124625,"locality, political",APPROXIMATE,India,Assam,"Tea, Paddy, Mustard",41.44%,57.29%,1.28%,43.94%,37.01%,19.05%,5.57%,60.40%,34.03%,41.17%,58.83%,0%,
"Dima Hasao, Assam",Ok,"Dima Hasao, Assam, India",25.3478004,93.0175712,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Ginger, Turmeric, Paddy",59.44%,40.51%,0.04%,64.75%,35.21%,0.04%,11.32%,85.23%,3.45%,52.59%,47.37%,0.04%,
"Goalpara, Assam",Ok,"Goalpara, Assam, India",26.1639014,90.6253459,"locality, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Vegetables",45.18%,54.82%,0%,50.03%,37.78%,12.19%,5.97%,61.96%,32.07%,63.51%,36.49%,0%,
"Golaghat, Assam",Ok,"Golaghat, Assam, India",26.5238515,93.962337,"locality, political",APPROXIMATE,India,Assam,"Tea, Paddy, Vegetables",57.95%,37.79%,4.26%,57.64%,24.45%,17.91%,5.26%,18.73%,76.00%,24.19%,75.81%,0%,
"Hailakandi, Assam",Ok,"Hailakandi, Assam, India",24.680855,92.5648095,"locality, political",APPROXIMATE,India,Assam,"Rice, Jute, Pineapple",51.78%,46.46%,1.76%,69.61%,20.51%,9.89%,11.97%,71.30%,16.73%,55.26%,44.74%,0%,
"Hojai, Assam",Ok,"Hojai, Assam 782435, India",26.0016601,92.847737,"locality, political",APPROXIMATE,India,Assam,"Paddy, Sugarcane, Vegetables",40.59%,57.16%,2.25%,44.92%,33.83%,21.25%,9.98%,57.49%,32.53%,37.36%,62.64%,0%,
"Jorhat, Assam",Ok,"Jorhat, Assam, India",26.7509207,94.2036696,"locality, political",APPROXIMATE,India,Assam,"Tea, Paddy, Mustard",47.69%,49.42%,2.89%,44.91%,38.91%,16.18%,5.59%,48.75%,45.67%,17.88%,82.12%,0%,
"Kamrup, Assam",Ok,"Kamrup, Assam, India",25.9410942,91.2891036,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Vegetables",47.53%,49.94%,2.53%,74.05%,17.01%,8.94%,4.12%,50.27%,45.62%,23.05%,76.95%,0%,
"Kamrup Metropolitan, Assam",Ok,"Kamrup Metropolitan, Assam, India",26.1700805,91.949021,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Vegetables, Fruits, Flowers",20.39%,78.19%,1.43%,68.19%,19.61%,12.20%,11.38%,34.01%,54.60%,9.84%,90.16%,0%,
"Karbi Anglong, Assam",Ok,"Karbi Anglong, Assam, India",26.186085,93.5812692,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Ginger, Turmeric, Pineapple",23.90%,75.22%,0.89%,39.98%,35.45%,24.57%,5.98%,65.84%,28.18%,24.14%,75.86%,0%,
"Karimganj, Assam",Ok,"Karimganj, Assam 788710, India",24.8649128,92.3591531,"locality, political",APPROXIMATE,India,Assam,"Rice, Jute, Vegetables",65.54%,31.24%,3.22%,41.28%,36.21%,22.51%,19.42%,56.61%,23.98%,34.78%,65.22%,0%,
"Kokrajhar, Assam",Ok,"Kokrajhar, Assam 783370, India",26.4021196,90.2705679,"locality, political",APPROXIMATE,India,Assam,"Paddy, Maize, Mustard",32.71%,64.70%,2.59%,82.28%,12.66%,5.06%,4.48%,29.77%,65.75%,25.90%,74.10%,0%,
"Lakhimpur, Assam",Ok,"Lakhimpur, Assam, India",27.2063587,94.1513764,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Vegetables",46.11%,50.64%,3.26%,84.11%,14.81%,1.09%,12.06%,20.72%,67.23%,45.23%,54.78%,0%,
"Morigaon, Assam",Ok,"Morigaon, Assam 782105, India",26.2514394,92.342311,"locality, political",APPROXIMATE,India,Assam,"Rice, Jute, Mustard",73.47%,20.68%,5.85%,80.33%,10.58%,9.09%,13.61%,36.46%,49.92%,27.22%,72.78%,0%,
"Nagaon, Assam",Ok,"Nagaon, Assam, India",26.348009,92.6838111,"locality, political",APPROXIMATE,India,Assam,"Paddy, Sugarcane, Vegetables",26.52%,72.21%,1.27%,55.62%,30.55%,13.82%,5.61%,60.13%,34.26%,15.66%,84.34%,0%,
"Nalbari, Assam",Ok,"Nalbari, Assam, India",26.4446185,91.4410527,"locality, political",APPROXIMATE,India,Assam,"Paddy, Jute, Mustard",59.12%,36.79%,4.09%,64.01%,23.72%,12.27%,13.25%,50.54%,36.21%,24.75%,75.25%,0%,
"Sivasagar, Assam",Ok,"Sivasagar, Assam, India",26.989087,94.639424,"locality, political",APPROXIMATE,India,Assam,"Tea, Paddy, Mustard",39.97%,59.15%,0.88%,40.43%,38.07%,21.49%,9.87%,51.34%,38.80%,55.62%,44.38%,0%,
"Sonitpur, Assam",Ok,"Sonitpur, Assam, India",26.6769864,92.6983868,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Tea, Paddy, Sugarcane",62.60%,35.89%,1.51%,72.79%,19.29%,7.92%,11.25%,66.40%,22.35%,81.03%,18.97%,0%,
"South Salmara-Mankachar, Assam",Ok,"South Salmara-Mankachar, Assam, India",25.8048092,89.8879304,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Vegetables",19.25%,79.75%,1.00%,29.99%,28.05%,41.97%,1.35%,36.40%,62.24%,17.95%,82.05%,0%,
"Tinsukia, Assam",Ok,"Tinsukia, Assam, India",27.4885539,95.355758,"locality, political",APPROXIMATE,India,Assam,"Tea, Rubber, Pineapple",13.52%,85.64%,0.85%,85.59%,10.25%,4.16%,1.32%,10.82%,87.86%,7.46%,92.54%,0%,
"Udalguri, Assam",Ok,"Udalguri, Assam 784509, India",26.7451087,92.095914,"locality, political",APPROXIMATE,India,Assam,"Paddy, Mustard, Ginger",20.10%,79.49%,0.42%,91.84%,7.72%,0.44%,6.94%,61.18%,31.88%,29.86%,70.14%,0%,
"West Karbi Anglong, Assam",Ok,"West Karbi Anglong, Assam, India",25.9273292,92.3813621,"administrative_area_level_3, political",APPROXIMATE,India,Assam,"Ginger, Turmeric, Paddy",23.94%,75.68%,0.38%,40.06%,43.70%,16.24%,8.52%,70.01%,21.47%,63.92%,36.08%,0%,
"Araria, Bihar",Ok,"Araria, Bihar, India",26.1324689,87.4528067,"locality, political",APPROXIMATE,India,Bihar,"Rice, Maize, Jute",0%,36.49%,63.51%,46.69%,53.21%,0.09%,42.82%,56.85%,0.32%,12.02%,87.96%,0.01%,
"Arwal, Bihar",Ok,"Arwal Sipah Panchayat, Bihar 804401, India",25.2427603,84.6655981,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Rice, Lentil",2.15%,63.60%,34.25%,76.32%,17.14%,6.54%,32.11%,59.08%,8.81%,12.74%,86.45%,0.81%,
"Aurangabad, Bihar","2 found, use single geocode.","Aurangabad, Bihar, India",24.7486689,84.3807025,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Rice, Maize",0.13%,74.44%,25.43%,59.43%,35.92%,4.64%,30.35%,64.72%,4.93%,0.02%,99.92%,0.06%,
"Banka, Bihar",Ok,"Banka, Bihar 813102, India",24.8874179,86.919838,"locality, political",APPROXIMATE,India,Bihar,"Maize, Mustard, Wheat",0.02%,9.65%,90.33%,90.40%,8.81%,0.79%,12.73%,86.47%,0.80%,1.43%,98.52%,0.05%,
"Begusarai, Bihar",Ok,"Begusarai, Bihar, India",25.4181638,86.1271542,"locality, political",APPROXIMATE,India,Bihar,"Rice, Wheat, Oilseeds",0.01%,2.62%,97.37%,90.53%,9.34%,0.13%,33.89%,65.83%,0.29%,0.03%,99.83%,0.14%,
"Bhagalpur, Bihar","2 found, use single geocode.","Bhagalpur, Bihar, India",25.242453,86.9842256,"locality, political",APPROXIMATE,India,Bihar,"Litchi, Banana, Wheat",0%,1.50%,98.50%,99.50%,0.45%,0.05%,53.73%,45.97%,0.30%,0.02%,99.95%,0.03%,
"Bhojpur, Bihar",Ok,"Bhojpur, Bihar, India",25.466155,84.5222189,"administrative_area_level_3, political",APPROXIMATE,India,Bihar,"Wheat, Rice, Sugarcane",7.39%,69.82%,22.79%,92.49%,7.22%,0.29%,29.55%,64.91%,5.54%,0.12%,99.66%,0.22%,
"Buxar, Bihar",Ok,"Buxar, Bihar, India",25.5647103,83.9777482,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Rice, Pulses",0.04%,6.61%,93.35%,98.66%,1.12%,0.22%,24.39%,74.98%,0.63%,0.08%,99.84%,0.09%,
"Darbhanga, Bihar",Ok,"Darbhanga, Bihar, India",26.1542045,85.8918454,"locality, political",APPROXIMATE,India,Bihar,"Rice, Maize, Mustard",0.07%,36.09%,63.84%,70.02%,29.20%,0.78%,21.06%,76.57%,2.37%,0.13%,99.85%,0.02%,
"Gaya, Bihar",Ok,"Gaya, Bihar, India",24.7913957,85.0002336,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Lentil, Mustard",2.94%,93.12%,3.94%,89.16%,10.50%,0.34%,33.50%,65.53%,0.97%,0.33%,99.29%,0.38%,
"Gopalganj, Bihar",Ok,"Ward No. 15, Gopalganj, Bihar 841428, India",26.4605776,84.4402462,"locality, political",APPROXIMATE,India,Bihar,"Rice, Maize, Wheat",0.04%,0.28%,99.68%,89.04%,10.82%,0.14%,1.98%,97.56%,0.46%,0.13%,99.48%,0.39%,
"Jamui, Bihar",Ok,"Jamui, Bihar, India",24.9255887,86.2258592,"locality, political",APPROXIMATE,India,Bihar,"Paddy, Wheat, Mustard",0.45%,48.70%,50.85%,22.81%,71.83%,5.35%,14.06%,65.65%,20.29%,1.05%,98.83%,0.12%,
"Jehanabad, Bihar",Ok,"Jehanabad, Bihar, India",25.2132649,84.9853322,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Lentil, Rice",3.40%,91.56%,5.04%,77.73%,21.82%,0.45%,29.87%,67.26%,2.87%,0.17%,99.46%,0.37%,
"Kaimur, Bihar",Ok,"Kaimur, Bihar 821102, India",24.9080554,83.5323391,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Rice, Gram",0.01%,54.57%,45.42%,99.86%,0.09%,0.04%,31.64%,45.66%,22.70%,0.29%,99.63%,0.07%,
"Katihar, Bihar",Ok,"Katihar, Bihar, India",25.5540648,87.5591073,"locality, political",APPROXIMATE,India,Bihar,"Jute, Banana, Rice",0.05%,64.65%,35.30%,72.76%,27.20%,0.04%,27.95%,71.75%,0.29%,33.02%,66.94%,0.05%,
"Khagaria, Bihar",Ok,"Khagaria, Bihar, India",25.50452,86.4701416,"locality, political",APPROXIMATE,India,Bihar,"Rice, Maize, Oilseeds",0.14%,0.05%,99.82%,93.53%,6.24%,0.23%,3.42%,96.02%,0.55%,0.09%,99.84%,0.07%,
"Kishanganj, Bihar","2 found, use single geocode.","Kishanganj, Bihar, India",26.0982167,87.9450379,"locality, political",APPROXIMATE,India,Bihar,"Maize, Jute, Wheat",0.07%,36.34%,63.59%,88.24%,10.37%,1.39%,51.90%,36.38%,11.72%,63.65%,36.32%,0.04%,
"Lakhisarai, Bihar",Ok,"Lakhisarai, Bihar, India",25.1571454,86.0951592,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Mustard, Rice",0%,56.69%,43.31%,84.22%,15.59%,0.19%,44.21%,55.64%,0.15%,0.15%,97.37%,2.48%,
"Madhepura, Bihar",Ok,"Madhepura, Bihar 852113, India",25.9239677,86.7946387,"locality, political",APPROXIMATE,India,Bihar,"Rice, Maize, Wheat",0.95%,90.14%,8.90%,99.93%,0.05%,0.02%,20.38%,52.21%,27.41%,3.15%,96.80%,0.05%,
"Madhubani, Bihar",Ok,"Madhubani, Bihar, India",26.3482938,86.0711661,"locality, political",APPROXIMATE,India,Bihar,"Maize, Mustard, Wheat",0.01%,28.64%,71.36%,6.04%,26.22%,67.74%,10.60%,30.50%,58.90%,0.64%,99.00%,0.36%,
"Munger, Bihar",Ok,"Munger, Bihar 811201, India",25.3707993,86.4733903,"locality, political",APPROXIMATE,India,Bihar,"Banana, Wheat, Lentil",0%,37.22%,62.78%,93.84%,5.83%,0.32%,40.76%,59.04%,0.19%,0.22%,99.78%,0%,
"Muzaffarpur, Bihar",Ok,"Muzaffarpur, Bihar, India",26.1196607,85.390982,"locality, political",APPROXIMATE,India,Bihar,"Litchi, Maize, Mustard",0.01%,0.28%,99.71%,97.02%,2.90%,0.08%,13.40%,83.74%,2.86%,0.02%,88.93%,11.05%,
"Nalanda, Bihar",Ok,"Nalanda, Bihar 803111, India",25.1240603,85.4594749,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Rice, Pulses",8.99%,74.58%,16.43%,61.72%,36.60%,1.68%,36.13%,57.67%,6.20%,0.12%,99.79%,0.08%,
"Nawada, Bihar",Ok,"Nawada, Bihar, India",24.8866859,85.5434572,"locality, political",APPROXIMATE,India,Bihar,"Maize, Mustard, Rice",0.28%,69.70%,30.02%,83.61%,14.33%,2.07%,40.69%,57.40%,1.91%,0.04%,99.60%,0.36%,
"Patna, Bihar",Ok,"Patna, Bihar, India",25.5940947,85.1375645,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Vegetables, Rice",1.24%,90.03%,8.73%,94.04%,4.74%,1.22%,15.31%,78.43%,6.26%,0.13%,99.58%,0.29%,
"Purnia, Bihar",Ok,"Purnia, Bihar, India",25.771665,87.4792359,"administrative_area_level_4, political",APPROXIMATE,India,Bihar,"Jute, Maize, Banana",0.07%,35.24%,64.69%,72.05%,21.73%,6.22%,23.55%,69.14%,7.31%,23.14%,76.84%,0.02%,
"Rohtas, Bihar","2 found, use single geocode.","Rohtas, Bihar 821311, India",24.6287405,83.9201656,"locality, political",APPROXIMATE,India,Bihar,"Rice, Wheat, Gram",0.12%,99.00%,0.88%,98.91%,0.61%,0.48%,14.35%,85.01%,0.64%,0.28%,99.68%,0.04%,
"Saharsa, Bihar",Ok,"Saharsa, Bihar, India",25.8773651,86.5927887,"locality, political",APPROXIMATE,India,Bihar,"Maize, Rice, Mustard",0.14%,43.94%,55.92%,62.19%,34.57%,3.23%,2.77%,93.81%,3.41%,4.94%,93.19%,1.87%,
"Samastipur, Bihar",Ok,"Samastipur, Bihar 848101, India",25.8560271,85.7868233,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Maize, Sugarcane",0.05%,0.54%,99.41%,80.54%,19.27%,0.19%,6.23%,93.26%,0.51%,0.03%,99.56%,0.41%,
"Saran, Bihar",Ok,"Saran, Bihar, India",25.8559698,84.8567932,"administrative_area_level_3, political",APPROXIMATE,India,Bihar,"Maize, Wheat, Lentil",0%,0.07%,99.93%,95.99%,3.90%,0.11%,4.58%,95.38%,0.04%,0%,99.62%,0.38%,
"Sheikhpura, Bihar",Ok,"Sheikhpura, Bihar 811105, India",25.1391653,85.8392151,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Mustard, Maize",0.09%,0.13%,99.79%,99.20%,0.71%,0.09%,36.42%,63.48%,0.11%,0.14%,99.84%,0.02%,
"Sheohar, Bihar","2 found, use single geocode.","Sheohar, Bihar 843329, India",26.5145872,85.2942313,"locality, political",APPROXIMATE,India,Bihar,"Rice, Wheat, Maize",0%,36.25%,63.75%,48.20%,45.82%,5.98%,2.31%,82.14%,15.55%,0%,99.94%,0.06%,
"Sitamarhi, Bihar",Ok,"Sitamarhi, Bihar, India",26.5886976,85.5012971,"locality, political",APPROXIMATE,India,Bihar,"Rice, Maize, Mustard",0.03%,17.93%,82.04%,93.15%,6.73%,0.12%,7.26%,91.23%,1.52%,0.47%,99.04%,0.50%,
"Siwan, Bihar",Ok,"Siwan, Bihar, India",26.2243204,84.3599953,"locality, political",APPROXIMATE,India,Bihar,"Wheat, Rice, Sugarcane",0.03%,0%,99.97%,58.36%,37.71%,3.92%,17.14%,82.10%,0.76%,5.03%,93.50%,1.47%,
"Supaul, Bihar","2 found, use single geocode.","Supaul, Bihar 852131, India",26.1233718,86.6045134,"locality, political",APPROXIMATE,India,Bihar,"Rice, Maize, Oilseeds",0.36%,48.97%,50.67%,84.98%,10.15%,4.86%,10.92%,81.27%,7.81%,0.32%,98.53%,1.15%,
"Vaishali, Bihar",Ok,"Vaishali, Bihar, India",25.6838206,85.354965,"administrative_area_level_3, political",APPROXIMATE,India,Bihar,"Banana, Rice, Wheat",0%,0.39%,99.61%,72.88%,26.37%,0.75%,1.59%,97.96%,0.45%,0.04%,87.85%,12.11%,
"Balod, Chhattisgarh",Ok,"Balod, Chhattisgarh 491226, India",20.7268981,81.2049301,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Pulses",0.11%,32.80%,67.08%,27.75%,57.60%,14.64%,82.72%,16.36%,0.92%,2.63%,97.20%,0.17%,
"Baloda Bazar, Chhattisgarh",Ok,"Baloda Bazar, Chhattisgarh 493332, India",21.6570941,82.1612298,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Wheat, Mustard",0.10%,3.07%,96.83%,16.95%,78.27%,4.78%,62.73%,36.13%,1.13%,8.08%,91.62%,0.30%,
"Balrampur, Chhattisgarh","3 found, use single geocode.","Balrampur, Chhattisgarh 497119, India",23.6081617,83.6190138,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Niger",0%,33.26%,66.74%,0.03%,24.66%,75.31%,62.61%,37.29%,0.10%,19.99%,80.01%,0%,
"Bastar, Chhattisgarh","2 found, use single geocode.","Bastar, Chhattisgarh 494223, India",19.2073279,81.9338685,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Tuber crops",0.12%,28.97%,70.91%,13.26%,69.11%,17.63%,23.02%,62.37%,14.62%,13.63%,86.30%,0.07%,
"Bemetara, Chhattisgarh",Ok,"Bemetara, Chhattisgarh 491335, India",21.7140253,81.5356149,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Gram, Lentil",0%,6.49%,93.51%,4.25%,88.95%,6.80%,89.16%,10.80%,0.04%,0%,99.99%,0.01%,
"Bijapur, Chhattisgarh","2 found, use single geocode.","Bijapur, Chhattisgarh 494444, India",18.7963075,80.815622,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Millets, Niger",0.02%,1.42%,98.56%,2.71%,85.13%,12.16%,35.06%,58.01%,6.94%,0.44%,99.29%,0.27%,
"Bilaspur, Chhattisgarh",Ok,"Bilaspur, Chhattisgarh 495001, India",22.0796545,82.1409152,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Wheat, Maize",1%,62.85%,36.15%,9.05%,74.25%,16.70%,91.05%,8.55%,0.40%,0.15%,99.80%,0.05%,
"Dantewada (South Bastar), Chhattisgarh",Ok,"Dantewada, Chhattisgarh 494449, India",18.8998486,81.34743,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Ragi, Maize",0.24%,4.10%,95.66%,6.77%,80.48%,12.75%,41.95%,46.91%,11.14%,0.63%,98.40%,0.97%,
"Dhamtari, Chhattisgarh",Ok,"Dhamtari, Chhattisgarh, India",20.7101344,81.5489077,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Soybean",0.80%,54.98%,44.22%,36.03%,36.21%,27.76%,48.87%,48.91%,2.22%,4.12%,95.69%,0.19%,
"Durg, Chhattisgarh",Ok,"Durg, Chhattisgarh, India",21.1904494,81.2849169,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Gram, Mustard",1.35%,89.60%,9.05%,13.62%,71.11%,15.27%,76.03%,23.29%,0.67%,1.25%,98.70%,0.05%,
"Gariaband, Chhattisgarh",Ok,"Gariyaband, Chhattisgarh 493889, India",20.6347897,82.0614974,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Niger, Tuber crops",0.23%,0.03%,99.74%,0.28%,98.42%,1.30%,75.27%,24.10%,0.63%,0.21%,99.37%,0.42%,
"Gaurela-Pendra-Marwahi, Chhattisgarh","3 found, use single geocode.","Gaurela-Pendra-Marwahi, Chhattisgarh, India",22.8475281,81.9971108,"administrative_area_level_3, political",APPROXIMATE,India,Chhattisgarh,"Maize, Wheat, Gram",0.07%,39.10%,60.83%,24.47%,72.19%,3.34%,56.86%,32.12%,11.02%,7.05%,92.85%,0.10%,
"Janjgir-Champa, Chhattisgarh",Ok,"Janjgir-Champa, Chhattisgarh, India",21.9705529,82.4752757,"administrative_area_level_3, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Wheat, Sugarcane",0.10%,6.64%,93.26%,8.63%,88.96%,2.42%,13.70%,85.68%,0.62%,6.36%,93.46%,0.18%,
"Jashpur, Chhattisgarh",Ok,"Jashpur Nagar, Chhattisgarh 496331, India",22.8759331,84.1381159,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Turmeric",0.04%,50.42%,49.54%,0.03%,10.04%,89.93%,80.49%,18.26%,1.24%,21.82%,78.18%,0%,
"Kabirdham (Kawardha), Chhattisgarh",Ok,"Kawardha, Chhattisgarh 491995, India",22.0106092,81.2359282,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Gram, Maize",0.27%,61.99%,37.74%,6.15%,93.60%,0.25%,99.04%,0.77%,0.19%,1.02%,98.33%,0.65%,
"Kanker (North Bastar), Chhattisgarh","2 found, use single geocode.","Kanker, Chhattisgarh 494334, India",20.2675174,81.4927385,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Niger, Maize",0.02%,68.79%,31.19%,8.55%,71.70%,19.75%,58.06%,41.92%,0.02%,33.43%,66.53%,0.03%,
"Kondagaon, Chhattisgarh",Ok,"Kondagaon, Chhattisgarh 494226, India",19.595393,81.664585,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Ragi, Maize",0.16%,19.45%,80.39%,36.50%,34.39%,29.10%,32.99%,57.61%,9.40%,2.03%,97.81%,0.16%,
"Korba, Chhattisgarh",Ok,"Korba, Chhattisgarh, India",22.3594501,82.7500595,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Vegetables",0.18%,1.56%,98.26%,0.40%,99.41%,0.19%,51.22%,48.24%,0.54%,0.11%,99.77%,0.11%,
"Koriya, Chhattisgarh",Ok,"Korea District, Chhattisgarh, India",23.3875499,82.3885783,"administrative_area_level_3, political",APPROXIMATE,India,Chhattisgarh,"Maize, Wheat, Lentil",0.12%,9.72%,90.16%,6.16%,85.80%,8.04%,28%,63.36%,8.64%,23.28%,76.72%,0%,
"Mahasamund, Chhattisgarh",Ok,"Mahasamund, Chhattisgarh 493445, India",21.1124067,82.095962,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Mustard, Gram",0.04%,7.74%,92.22%,0.70%,92.40%,6.90%,43.25%,56.52%,0.23%,7.93%,91.96%,0.11%,
"Mungeli, Chhattisgarh",Ok,"Mungeli, Chhattisgarh 495334, India",22.0661963,81.6839125,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Wheat",0.51%,77.43%,22.06%,0.88%,92.03%,7.09%,77.45%,22.45%,0.10%,0.10%,99.87%,0.03%,
